Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance,p-value < 0.01 Count
fr_methoxy,0.1774436090225564,0.2895622895622896,0.0,0.0,-3.6095771116456294,0.0003225480912297317,goed verschilletje hiero,74,woow,61
fr_morpholine,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_nitrile,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_nitro,0.0,0.11784511784511785,0.0,0.0,-9.315695197994325,8.263931721541658e-20,goed verschilletje hiero,74,woow,61
fr_nitro_arom,0.0,0.08754208754208755,0.0,0.0,-7.9792290442386005,4.1787046383037256e-15,goed verschilletje hiero,74,woow,61
fr_nitro_arom_nonortho,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_nitroso,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_oxazole,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_oxime,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_para_hydroxylation,0.32230215827338127,0.2962962962962963,0.0,0.0,0.6480538698539277,0.5171003749891461,"nope, deze niet",74,nope,61
fr_phenol,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_phenol_noOrthoHbond,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_phos_acid,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_phos_ester,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_piperdine,0.07225433526011561,0.0,0.0,0.0,4.673301955044369,3.381950450939285e-06,goed verschilletje hiero,74,woow,61
fr_piperzine,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_priamide,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_prisulfonamd,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_pyridine,0.1246376811594203,0.1040268456375839,0.0,0.0,0.9197100448966626,0.357949245370614,"nope, deze niet",74,nope,61
fr_quatN,0.14676258992805755,0.09731543624161074,0.0,0.0,2.1128338446778154,0.03486454767102673,goed verschilletje hiero,74,nope,61
fr_sulfide,0.14285714285714285,0.18855218855218855,0.0,0.0,-1.8174701831639726,0.06944581739978627,"nope, deze niet",74,nope,61
fr_sulfonamd,0.10057471264367816,0.11486486486486487,0.0,0.0,-0.6717083040002039,0.5019261230932879,"nope, deze niet",74,nope,61
fr_sulfone,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_term_acetylene,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_tetrazole,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_thiazole,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
fr_thiocyan,0.0,0.0,0.0,0.0,,,"nope, deze niet",74,nope,61
