Descriptor,mean_non_inhibitors,mean_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance
fr_phos_acid,0.0,0.0,,,"nope, deze niet",54,nope
fr_phos_ester,0.0,0.0,,,"nope, deze niet",54,nope
fr_piperdine,0.09428571428571429,0.07,1.1156694878410016,0.2648321977387341,"nope, deze niet",54,nope
fr_piperzine,0.07285714285714286,0.06,0.7345770876932075,0.46276965495086386,"nope, deze niet",54,nope
fr_priamide,0.014285714285714285,0.0033333333333333335,1.521921882339396,0.12834542315248032,"nope, deze niet",54,nope
fr_prisulfonamd,0.0,0.0,,,"nope, deze niet",54,nope
fr_pyridine,0.15142857142857144,0.11666666666666667,1.3221976810265288,0.18640527834520415,"nope, deze niet",54,nope
fr_quatN,0.16,0.11333333333333333,1.7913942798360147,0.07353295902724546,"nope, deze niet",54,nope
fr_sulfide,0.14285714285714285,0.20666666666666667,-2.460953781056809,0.014025199862562555,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
fr_sulfonamd,0.11142857142857143,0.14,-1.1869882798370794,0.2355147037854967,"nope, deze niet",54,nope
fr_sulfone,0.024285714285714285,0.04,-1.3110969029663564,0.19012660880904805,"nope, deze niet",54,nope
fr_term_acetylene,0.0014285714285714286,0.0,0.6544663324094762,0.5129622021642409,"nope, deze niet",54,nope
