Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic Mean,p-value Mean,T-Statistic Median,p-value Median,Significance Mean,p-value < 0.05 Count,Super_Significance Mean,p-value < 0.01 Count,Significance Median
fr_Al_COO,0.015714285714285715,0.07,0.0,0.0,-5.99907685206008,2.3497170402724155e-09,-5.99907685206008,2.3497170402724155e-09,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_Al_OH,0.03214285714285714,0.04666666666666667,0.0,0.0,-1.2671257866554324,0.20525798982788082,-1.2671257866554324,0.20525798982788082,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_Al_OH_noTert,0.025714285714285714,0.03166666666666667,0.0,0.0,-0.611651918998976,0.5408376679503362,-0.611651918998976,0.5408376679503362,"nope, deze niet",127,nope,127,"nope, deze niet"
fr_ArN,0.14785714285714285,0.041666666666666664,0.0,0.0,6.147980841286572,9.449932622515026e-10,6.147980841286572,9.449932622515026e-10,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_Ar_COO,0.008571428571428572,0.041666666666666664,0.0,0.0,-4.927464909698345,9.016178243603651e-07,-4.927464909698345,9.016178243603651e-07,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_Ar_N,1.865,0.7583333333333333,2.0,0.0,15.643839567028278,3.977459838010159e-52,15.643839567028278,3.977459838010159e-52,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_Ar_NH,0.15142857142857144,0.043333333333333335,0.0,0.0,6.381567007407098,2.1726921326040359e-10,6.381567007407098,2.1726921326040359e-10,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_Ar_OH,0.03571428571428571,0.08166666666666667,0.0,0.0,-3.888151876323232,0.00010430979219039353,-3.888151876323232,0.00010430979219039353,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_COO,0.024285714285714285,0.11166666666666666,0.0,0.0,-7.823140476748424,8.278868419267012e-15,-7.823140476748424,8.278868419267012e-15,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
fr_COO2,0.024285714285714285,0.11166666666666666,0.0,0.0,-7.823140476748424,8.278868419267012e-15,-7.823140476748424,8.278868419267012e-15,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
