Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance,p-value < 0.01 Count
SlogP_VSA8,4.867464303186331,4.696652347842485,0.0,0.0,0.3760058235835439,0.7069930431798489,"nope, deze niet",82,nope,60
SlogP_VSA9,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
TPSA,71.66083213773314,77.40469999999996,69.29,76.845,-3.1513569784382227,0.0016737058504350652,goed verschilletje hiero,82,woow,60
EState_VSA1,110.73507838071457,116.38514522770897,111.09404220959662,116.44553307160734,-2.6415713429404875,0.008381802136095124,goed verschilletje hiero,82,woow,60
EState_VSA10,9.307732967660755,10.595033377176124,9.589074368143644,9.589074368143644,-3.026901672184574,0.0025346710282486036,goed verschilletje hiero,82,woow,60
EState_VSA11,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
EState_VSA2,5.041124522463392,6.962969380487862,4.567099647791355,4.899909730850478,-4.131479092515723,3.9114790574398086e-05,goed verschilletje hiero,82,woow,60
EState_VSA3,0.4312498914094416,0.8441969500554167,0.0,0.0,-3.0403426064419388,0.002427333272893769,goed verschilletje hiero,82,woow,60
EState_VSA4,0.012996803266743693,0.013949178141948603,0.0,0.0,-0.05678327014915849,0.9547294040084991,"nope, deze niet",82,nope,60
EState_VSA5,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
EState_VSA6,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
EState_VSA7,0.0,0.0,0.0,0.0,,,"nope, deze niet",82,nope,60
EState_VSA8,8.472464648447609,8.514233119473218,9.473725907600098,9.473725907600098,-0.09073401392902815,0.9277223155319447,"nope, deze niet",82,nope,60
EState_VSA9,29.408712152464368,31.009695556110305,28.785929679574615,30.238855280060797,-2.472542888028223,0.01358265013264419,goed verschilletje hiero,82,nope,60
VSA_EState1,159.97100507737488,163.46429456915675,154.91752159917394,162.4832433233019,-0.9435910791098725,0.3456084010981364,"nope, deze niet",82,nope,60
VSA_EState10,0.906914354525697,1.5877913455879085,0.0,0.0,-4.1354405683699955,3.8512466512070056e-05,goed verschilletje hiero,82,woow,60
VSA_EState2,17.458340729890903,19.46958560782563,15.49892728542034,16.884948137738576,-2.3799179561737476,0.017505035444554857,goed verschilletje hiero,82,nope,60
VSA_EState3,2.6018666490324778,3.151315204138579,0.0,0.0,-1.4218573859617447,0.15538517378926614,"nope, deze niet",82,nope,60
VSA_EState4,-4.266137693193822,-4.603083595936149,-3.6643890500032286,-4.2017081579318045,1.635342424863209,0.10229710161993771,"nope, deze niet",82,nope,60
VSA_EState5,-4.178637877005737,-4.659382239200554,-3.4790818394845635,-3.969616306968999,2.145681926697158,0.03214347749985203,goed verschilletje hiero,82,nope,60
VSA_EState6,-7.17045699569514,-7.779314739090369,-6.9457581540422995,-7.063701589086029,2.1010050308973893,0.03589287081433921,goed verschilletje hiero,82,nope,60
VSA_EState7,-6.116975397131155,-5.815958670847465,-3.6428019888510965,-3.4242893493358,-0.606435645311608,0.5443656662360535,"nope, deze niet",82,nope,60
VSA_EState8,-11.538195818741517,-10.716970341499831,-9.059101442038404,-8.501958990501109,-1.2959047156315016,0.1953115794953029,"nope, deze niet",82,nope,60
